日期,W_水生根茎类,W_花叶类,W_花菜类,W_茄类,W_辣椒类,W_食用菌
2020-07-01,0.5841584158415842,0.4989402875046076,0.5127762075318403,0.18954452966035373,0.9425863991081382,0.6240095041465301
2020-07-02,0.6050565025857115,0.7494869979479917,0.5858083590915202,1.1491602618844294,0.8718183004829656,0.7325785424490479
2020-07-03,0.7825311942959001,0.676269467625247,0.5824175824175826,0.29761904761904767,0.80275348515023,0.7638308071207789
2020-07-04,0.5556044924025543,0.5936004471303316,0.5350750159300239,0.827345247665574,0.896486788989852,0.6621753178040837
2020-07-05,0.8450184501845022,0.6279271426159105,0.49744094048231013,0.6335136516590705,0.8458775920921942,0.6705316068541058
2020-07-06,0.8348623853211008,0.5717578634091303,0.513622603430878,0.9816695566014366,0.8987144930541153,0.6618693360893071
2020-07-07,0.8315018315018314,0.6148169504493763,0.5759515178975985,0.7607457276022787,0.9611940711626554,0.6779772780349758
2021-07-01,0.566721196541248,0.6940922988217975,0.5542930646371529,0.7217068645640075,0.7968570919186002,0.5366335754103093
2021-07-02,0.5530415798352686,0.7019990040549193,0.7214094241514064,0.6445550027639579,0.6645251861898303,0.5357466728756648
2021-07-03,0.5360617304461797,0.7142387152196035,0.6870857601928098,0.5345268542199488,0.6723209433309727,0.5446677127094193
2021-07-04,0.5624567074578619,0.7011833349723016,0.7261488220200605,0.6896149358226371,0.6930364553882922,0.5092347853127226
2021-07-05,0.5795681364543641,0.7186074794770445,0.7552591412834293,0.8263619760345673,0.7118133935289692,0.5312165284281531
2021-07-06,0.6676021203617089,0.6981957652785657,0.769041769041769,0.8072746601868024,0.9731225696951267,0.6600290619449978
2021-07-07,0.5378341640235615,0.64175746194387,0.747663551401869,0.4501366932128845,0.8562552734524813,0.5770545067503223
2022-07-01,0.5246230016251558,0.7510715986664549,0.5235557708610872,0.7026254224070703,0.31467321142305926,0.6009746309301993
2022-07-02,0.5507700091705403,0.7814578547587985,0.5374993298904596,0.6234977206796524,0.5169807031005771,0.6013002238090162
2022-07-03,0.5550605437514278,0.78897586431833,0.5818771138669672,0.8059942984821633,0.4580850218514101,0.5863271712591556
2022-07-04,0.5429737910321684,0.7771798462776924,0.594896331738437,0.9227083998722454,0.5486460191341005,0.5499207606973062
2022-07-05,0.5500218197687106,0.7308445080692962,0.5846709196994122,0.80327868852459,0.41746431292021335,0.4846297781341886
2022-07-06,0.5391457523065382,0.783779429238918,0.5697137580794087,0.9824412347776832,0.46894484334837605,0.48741418764302047
2022-07-07,0.5535012562004769,0.78270242496677,0.40896392566500683,0.8466751376535364,0.559780478243826,0.48746459666421904
