日期,分类名称,批发价格(元/千克)_否,批发价格(元/千克)_是,销售单价(元/千克)_否,销售单价(元/千克)_是,销量(千克)_否,销量(千克)_是
2020-07-01,水生根茎类,8.820666666666666,0.0,13.973333333333333,0.0,4.85,0.0
2020-07-01,花叶类,5.255205811138015,3.6165625,7.8772397094431,4.075,191.717,13.685
2020-07-01,花菜类,8.484368932038835,0.0,12.83495145631068,0.0,46.64,0.0
2020-07-01,茄类,4.259333333333333,0.0,5.066666666666666,0.0,35.374,0.0
2020-07-01,辣椒类,6.3725096525096525,0.0,12.37915057915058,0.0,76.715,0.0
2020-07-01,食用菌,7.28563025210084,10.8,11.831932773109244,16.0,35.17,0.195
2020-07-02,水生根茎类,7.458571428571429,0.0,11.971428571428572,0.0,4.6,0.0
2020-07-02,花叶类,4.284473007712083,3.698529411764706,7.495629820051414,4.297058823529412,179.0,19.362000000000002
2020-07-02,花菜类,7.832631578947368,0.0,12.421052631578947,0.0,43.943,0.0
2020-07-02,茄类,2.5092857142857143,0.0,5.392857142857143,0.0,32.199,0.0
2020-07-02,辣椒类,6.779646017699116,0.0,12.690265486725664,0.0,66.064,0.0
2020-07-02,食用菌,7.8719375,0.0,13.638750000000002,0.0,48.51,0.0
2020-07-03,水生根茎类,5.61,5.61,10.0,6.4,4.41,5.162
2020-07-03,花叶类,4.4913740458015265,3.9707692307692306,7.528753180661578,4.530769230769231,183.947,6.832
2020-07-03,花菜类,7.583333333333333,0.0,12.0,0.0,42.076,0.0
2020-07-03,茄类,4.421052631578947,0.0,5.7368421052631575,0.0,35.896,0.0
2020-07-03,辣椒类,7.122731277533039,0.0,12.840528634361235,0.0,64.253,0.0
2020-07-03,食用菌,8.120671140939598,0.0,14.323489932885908,0.0,42.442,0.0
2020-07-04,水生根茎类,14.190625,0.0,22.075,0.0,5.439,0.0
2020-07-04,花叶类,4.926252390057361,4.156666666666666,7.850478011472275,6.533333333333334,234.573,2.0140000000000002
2020-07-04,花菜类,8.220476190476191,0.0,12.619047619047619,0.0,55.662,0.0
2020-07-04,茄类,3.266868686868687,0.0,5.96969696969697,0.0,57.067,0.0
2020-07-04,辣椒类,6.456061643835617,6.0,12.243835616438355,13.2,80.838,0.444
2020-07-04,食用菌,8.437738095238094,12.0,14.025000000000002,17.8,46.824,0.438
2020-07-05,水生根茎类,5.419999999999999,0.0,10.0,0.0,4.019,0.0
2020-07-05,花叶类,4.364800796812749,4.68,7.105577689243028,7.1000000000000005,219.64600000000002,4.253
2020-07-05,花菜类,8.442075471698113,0.0,12.641509433962264,0.0,55.474,0.0
2020-07-05,茄类,4.307706422018349,6.17,7.036697247706422,9.25,60.942,0.874
2020-07-05,辣椒类,6.568575498575499,7.95,12.124786324786326,13.6,98.031,0.465
2020-07-05,食用菌,7.70792270531401,0.0,12.87632850241546,0.0,73.213,0.0
2020-07-06,水生根茎类,5.45,5.45,10.0,9.7,2.708,0.381
2020-07-06,花叶类,5.090000000000001,4.73,8.000247524752474,6.680000000000001,183.439,12.301
2020-07-06,花菜类,7.928,9.48,12.0,13.2,42.277,0.444
2020-07-06,茄类,3.5412280701754386,0.0,7.017543859649122,0.0,30.727,0.0
2020-07-06,辣椒类,6.920896860986548,0.0,13.140807174887893,0.0,58.682,0.0
2020-07-06,食用菌,8.60875,1.64,14.306617647058824,3.4,39.578,1.0
2020-07-07,水生根茎类,5.46,0.0,10.0,0.0,3.117,0.0
2020-07-07,花叶类,5.038016759776537,3.639583333333334,8.135474860335195,4.383333333333334,156.875,15.177
2020-07-07,花菜类,7.280824742268042,0.0,11.474226804123711,0.0,45.749,0.0
2020-07-07,茄类,3.4482142857142857,0.0,6.071428571428571,0.0,32.112,0.0
2020-07-07,辣椒类,7.566178010471203,0.0,14.838743455497381,0.0,42.213,0.0
2020-07-07,食用菌,8.415375722543352,3.885,14.120809248554913,6.2,51.119,1.441
2020-07-08,水生根茎类,7.778076923076923,0.0,13.923076923076923,0.0,10.605,0.0
2020-07-08,花叶类,5.13841935483871,3.6980769230769233,8.360967741935484,5.130769230769231,137.354,15.216
2020-07-08,花菜类,7.360947368421052,0.0,11.736842105263158,0.0,45.433,0.0
2020-07-08,茄类,3.6603174603174606,5.23,6.031746031746032,6.7,39.094,0.576
2020-07-08,辣椒类,6.956623931623931,7.55,13.211965811965811,10.0,63.233,2.6470000000000002
2020-07-08,食用菌,8.561960784313726,0.0,14.369934640522875,0.0,43.968,0.0
2020-07-09,水生根茎类,5.47,0.0,10.0,0.0,2.106,0.0
2020-07-09,花叶类,4.836564102564102,4.77,7.813076923076923,0.3,187.151,0.288
2020-07-09,花菜类,7.527752808988763,0.0,12.03370786516854,0.0,41.131,0.0
2020-07-09,茄类,3.812291666666667,0.0,7.666666666666667,0.0,25.921,0.0
2020-07-09,辣椒类,6.2694977168949775,0.0,12.45570776255708,0.0,58.86,0.0
2020-07-09,食用菌,8.095714285714285,0.0,13.669172932330827,0.0,37.837,0.0
2020-07-10,水生根茎类,7.54962962962963,9.0,13.555555555555555,15.1,8.781,0.244
2020-07-10,花叶类,4.6989221556886225,3.9142857142857146,7.65059880239521,5.887755102040816,154.964,24.869
2020-07-10,花菜类,6.629206349206349,6.348000000000001,10.80952380952381,9.1,57.167,5.177
2020-07-10,茄类,4.891607142857143,5.368333333333333,7.5,7.283333333333334,34.162,3.698
2020-07-10,辣椒类,7.1250431034482755,7.362727272727272,14.280172413793103,13.990909090909092,56.666,2.27
2020-07-10,食用菌,7.503684210526315,10.765238095238095,12.90877192982456,15.023809523809524,37.03,4.399
2020-07-11,水生根茎类,8.055263157894737,9.0,14.421052631578947,14.775,7.406,1.522
2020-07-11,花叶类,4.868982035928144,4.722676056338028,7.9954091816367265,6.770422535211267,238.13400000000001,32.209
2020-07-11,花菜类,6.284,6.385,10.36,8.992857142857144,69.376,7.188
2020-07-11,茄类,4.00883495145631,4.177692307692308,6.252427184466019,5.892307692307692,60.323,7.954
2020-07-11,辣椒类,7.393626373626374,7.614848484848484,13.727472527472527,13.363636363636363,77.453,8.483
2020-07-11,食用菌,8.55845238095238,8.926875,14.448809523809524,13.56875,48.557,3.681
2020-07-12,水生根茎类,11.6190625,12.7625,17.89375,17.325,12.625,1.369
2020-07-12,花叶类,4.62080204778157,4.539253731343283,7.584470989761092,6.253731343283582,271.355,28.834
2020-07-12,花菜类,6.424809160305343,5.837647058823529,11.114503816793894,9.13529411764706,64.004,7.611
2020-07-12,茄类,4.322457627118644,4.45235294117647,7.322033898305085,6.323529411764706,73.13,8.576
